SEASON,SCORINGPERIOD,WEEK_NM,TEAM,TEAMNAME,SLOT,PLAYERID,PLAYERNAME,PLAYEROPP,GAMEOUTCOME,PLAYERPOINTS,STARTERPOINTS,BENCHPOINTS
2018,1,1,6,Jeremy,QB,14880,Kirk Cousins,SF,W 24-16,20.2,182.5,57.9
2018,1,1,6,Jeremy,RB,18567,Saquon Barkley,Jax,L 15-20,18.8,182.5,57.9
2018,1,1,6,Jeremy,RB,17919,Jordan Howard,@GB,L 23-24,10.7,182.5,57.9
2018,1,1,6,Jeremy,WR,17929,Tyreek Hill,@LAC,W 38-28,44.8,182.5,57.9
2018,1,1,6,Jeremy,WR,16731,Brandin Cooks,@Oak,W 33-13,9.3,182.5,57.9
2018,1,1,6,Jeremy,TE,14054,Kyle Rudolph,SF,W 24-16,7.1,182.5,57.9
2018,1,1,6,Jeremy,FLEX,15839,Marquise Goodwin,@Min,L 16-24,0,182.5,57.9
2018,1,1,6,Jeremy,FLEX,10452,Adrian Peterson,@Ari,W 24-6,21.6,182.5,57.9
2018,1,1,6,Jeremy,LB,17679,Kwon Alexander,@NO,W 48-40,12,182.5,57.9
2018,1,1,6,Jeremy,DL,16716,Aaron Donald,@Oak,W 33-13,1,182.5,57.9
2018,1,1,6,Jeremy,DB,13338,Barry Church,@NYG,W 20-15,9,182.5,57.9
2018,1,1,6,Jeremy,D/ST,60014,Rams D/ST,@Oak,W 33-13,16,182.5,57.9
2018,1,1,6,Jeremy,K,15683,Justin Tucker,Buf,W 47-3,12,182.5,57.9
2018,1,1,6,Jeremy,Bench,18246,Deshaun Watson,@NE,L 20-27,11,182.5,57.9
2018,1,1,6,Jeremy,Bench,14053,Randall Cobb,Chi,W 24-23,21.9,182.5,57.9
2018,1,1,6,Jeremy,Bench,18425,Corey Clement,Atl,W 18-12,2.6,182.5,57.9
2018,1,1,6,Jeremy,Bench,18728,Jordan Wilkins,Cin,L 23-34,6.1,182.5,57.9
2018,1,1,6,Jeremy,Bench,18599,Courtland Sutton,Sea,W 27-24,4.5,182.5,57.9
2018,1,1,6,Jeremy,Bench,11674,Danny Amendola,Ten,W 27-20,3.8,182.5,57.9
2018,1,1,6,Jeremy,Bench,60003,Bears D/ST,@GB,L 23-24,8,182.5,57.9
2018,1,1,11,Tony,QB,5529,Philip Rivers,KC,L 28-38,28.8,153.1,45.7
2018,1,1,11,Tony,RB,17586,Melvin Gordon,KC,L 28-38,18.6,153.1,45.7
2018,1,1,11,Tony,RB,16944,Devonta Freeman,@Phi,L 12-18,5,153.1,45.7
2018,1,1,11,Tony,WR,16737,Mike Evans,@NO,W 48-40,20.7,153.1,45.7
2018,1,1,11,Tony,WR,13216,Demaryius Thomas,Sea,W 27-24,12.3,153.1,45.7
2018,1,1,11,Tony,TE,15860,Jordan Reed,@Ari,W 24-6,10.8,153.1,45.7
2018,1,1,11,Tony,FLEX,14886,Lamar Miller,@NE,L 20-27,10.9,153.1,45.7
2018,1,1,11,Tony,FLEX,17689,Tevin Coleman,@Phi,L 12-18,10.5,153.1,45.7
2018,1,1,11,Tony,LB,14985,Lavonte David,@NO,W 48-40,7.5,153.1,45.7
2018,1,1,11,Tony,DL,16710,Khalil Mack,@GB,L 23-24,22.5,153.1,45.7
2018,1,1,11,Tony,DB,17692,Landon Collins,Jax,L 15-20,5.5,153.1,45.7
2018,1,1,11,Tony,D/ST,60024,Chargers D/ST,KC,L 28-38,-4,153.1,45.7
2018,1,1,11,Tony,K,11122,Matt Prater,NYJ,L 17-48,4,153.1,45.7
2018,1,1,11,Tony,Bench,18415,Cooper Kupp,@Oak,W 33-13,12.8,153.1,45.7
2018,1,1,11,Tony,Bench,17593,DeVante Parker,Ten,W 27-20,0,153.1,45.7
2018,1,1,11,Tony,Bench,17794,Jared Goff,@Oak,W 33-13,17.1,153.1,45.7
2018,1,1,11,Tony,Bench,15102,Rishard Matthews,@Mia,L 20-27,1.8,153.1,45.7
2018,1,1,11,Tony,Bench,16020,Spencer Ware,@LAC,W 38-28,4,153.1,45.7
2018,1,1,11,Tony,Bench,14145,Charles Clay,@Bal,L 3-47,0,153.1,45.7
2018,1,1,11,Tony,Bench,13977,Cameron Heyward,@Cle,T 21-21,10,153.1,45.7
2018,1,1,2,Brent,QB,2330,Tom Brady,Hou,W 27-20,21.2,138.6,15.5
2018,1,1,2,Brent,RB,18225,Kareem Hunt,@LAC,W 38-28,4.9,138.6,15.5
2018,1,1,2,Brent,RB,18171,Tarik Cohen,@GB,L 23-24,8.6,138.6,15.5
2018,1,1,2,Brent,WR,16733,Odell Beckham Jr.,Jax,L 15-20,11,138.6,15.5
2018,1,1,2,Brent,WR,17178,Adam Thielen,SF,W 24-16,10.2,138.6,15.5
2018,1,1,2,Brent,TE,13229,Rob Gronkowski,Hou,W 27-20,16.3,138.6,15.5
2018,1,1,2,Brent,FLEX,17619,Tyler Lockett,@Den,L 24-27,14.5,138.6,15.5
2018,1,1,2,Brent,FLEX,18345,Kenny Golladay,NYJ,L 17-48,16.4,138.6,15.5
2018,1,1,2,Brent,LB,17837,Deion Jones,@Phi,L 12-18,13.5,138.6,15.5
2018,1,1,2,Brent,DL,13971,Cameron Jordan,TB,L 40-48,5.5,138.6,15.5
2018,1,1,2,Brent,DB,17806,Keanu Neal,@Phi,L 12-18,1.5,138.6,15.5
2018,1,1,2,Brent,D/ST,60017,Patriots D/ST,Hou,W 27-20,6,138.6,15.5
2018,1,1,2,Brent,K,9704,Stephen Gostkowski,Hou,W 27-20,9,138.6,15.5
2018,1,1,2,Brent,Bench,18585,Rashaad Penny,@Den,L 24-27,4.3,138.6,15.5
2018,1,1,2,Brent,Bench,18606,Christian Kirk,Wsh,L 6-24,4.8,138.6,15.5
2018,1,1,2,Brent,Bench,18597,Ronald Jones,@NO,W 48-40,0,138.6,15.5
2018,1,1,2,Brent,Bench,17784,Cameron Brate,@NO,W 48-40,0,138.6,15.5
2018,1,1,2,Brent,Bench,13587,Chris Ivory,@Bal,L 3-47,0.3,138.6,15.5
2018,1,1,2,Brent,Bench,8544,Darren Sproles,Atl,W 18-12,6.1,138.6,15.5
2018,1,1,2,Brent,Bench,18724,Jaylen Samuels,@Cle,T 21-21,0,138.6,15.5
2018,1,1,3,JMT,QB,14881,Russell Wilson,@Den,L 24-27,20.3,128.8,44.2
2018,1,1,3,JMT,RB,18218,Leonard Fournette,@NYG,W 20-15,5.5,128.8,44.2
2018,1,1,3,JMT,RB,17856,Kenyan Drake,Ten,W 27-20,6.6,128.8,44.2
2018,1,1,3,JMT,WR,15818,Keenan Allen,KC,L 28-38,16.8,128.8,44.2
2018,1,1,3,JMT,WR,17677,Amari Cooper,LAR,L 13-33,1.8,128.8,44.2
2018,1,1,3,JMT,TE,9761,Delanie Walker,@Mia,L 20-27,5.2,128.8,44.2
2018,1,1,3,JMT,FLEX,16777,Carlos Hyde,Pit,T 21-21,12.5,128.8,44.2
